estimator,half_CI
0.163996,0.127452
0.143353,0.117722
0.155326,0.123745
0.16461,0.132097
0.188295,0.135111
0.198821,0.141088
0.197334,0.133453
0.194593,0.120958
0.19239,0.110204
0.18671,0.104819
0.180599,0.0957628
0.181927,0.0931063
0.175892,0.0889246
0.172593,0.0834847
0.167014,0.0788
0.164922,0.0750567
0.160188,0.0716183
0.15492,0.0698237
0.157538,0.068832
0.15537,0.0658369
0.154205,0.0630336
0.154299,0.0607229
0.154149,0.0586912
0.152677,0.0567612
0.154108,0.055458
0.156829,0.0534436
0.158406,0.0518661
0.155679,0.0504277
0.152128,0.0487147
0.151724,0.0474221
0.148716,0.046058
0.146606,0.0449843
0.14727,0.0444687
0.145563,0.0437347
0.142681,0.0427221
0.139696,0.0415404
0.138362,0.040673
0.135791,0.039534
0.134994,0.0385519
0.134904,0.0376505
0.135724,0.0373067
0.137537,0.037501
0.138965,0.0372646
0.139207,0.0365582
0.140455,0.0355788
0.140005,0.0350846
0.140579,0.0345675
0.141566,0.0339827
0.142818,0.0335561
0.145084,0.0334223
0.146672,0.0336092
0.14782,0.0334481
0.148708,0.0333634
0.148044,0.0328929
0.146753,0.0322704
0.146575,0.031532
0.146258,0.0311237
0.146033,0.0306159
0.146424,0.0301879
0.147524,0.0304676
0.147483,0.0301114
0.148357,0.0299591
0.150125,0.0300485
0.151776,0.0301615
0.153006,0.0306076
0.153782,0.0311214
0.153886,0.0315161
0.153905,0.031907
0.15383,0.0320671
0.152737,0.0321114
0.151734,0.0321836
0.151295,0.032139
0.149993,0.0316861
0.148532,0.0313049
0.147339,0.0309263
0.147377,0.0306643
0.147011,0.0305554
0.147195,0.0302335
0.146598,0.030053
0.146373,0.0299868
0.146283,0.0300061
0.145867,0.0299131
0.145869,0.0297038
0.145337,0.0294625
0.144376,0.029112
0.143787,0.0287792
0.143071,0.0284868
0.142781,0.0281134
0.142584,0.0278219
0.142201,0.027527
0.141672,0.0272271
0.141103,0.0269237
0.140322,0.0266204
0.140388,0.0263614
0.140575,0.0262503
0.140222,0.0260864
0.141226,0.0258865
0.141544,0.0256687
0.1418,0.025481
0.142307,0.0252559
0.143924,0.0253951
0.144721,0.0255288
0.146017,0.0258375
0.14702,0.0257993
0.148583,0.0257624
0.149645,0.0257317
0.150941,0.0254826
0.151522,0.0252103
0.152268,0.0250378
0.153423,0.0250241
0.153618,0.0249699
0.153961,0.0249408
0.154522,0.0248355
0.154357,0.0245433
0.15467,0.0242833
0.154471,0.0240977
0.154206,0.02391
0.153824,0.02369
0.154115,0.0235757
0.154721,0.0235014
0.154951,0.023461
0.155731,0.0234829
0.156228,0.0236491
0.155734,0.0235982
0.155443,0.0236069
0.155112,0.0235845
0.154674,0.0233903
0.154132,0.0232167
0.153694,0.0230976
0.15351,0.0229765
0.15329,0.0228582
0.15332,0.0227464
0.153571,0.0226092
0.153704,0.0223944
0.154064,0.0221524
0.15428,0.0220223
0.154391,0.0218884
0.154473,0.0219935
0.154969,0.0218552
0.155114,0.0216561
0.154775,0.0216157
0.15463,0.0215492
0.154368,0.0214968
0.153895,0.0214307
0.153818,0.0212515
0.153672,0.021174
0.153461,0.0210351
0.153183,0.0208956
0.153309,0.0208373
0.153307,0.0208859
0.153086,0.0207759
0.153314,0.0207316
0.153509,0.0207038
0.154063,0.0206279
0.154853,0.0206209
0.155782,0.0205881
0.156428,0.0205835
0.156375,0.0205389
0.156841,0.0205986
0.157141,0.02054
0.157145,0.0204007
0.157276,0.0203642
0.157278,0.0202978
0.157039,0.0202521
0.157719,0.0201598
0.158521,0.0201351
0.158703,0.0201282
0.159159,0.0200637
0.158978,0.0199988
0.15859,0.0199232
0.158567,0.0198509
0.158892,0.0198747
0.158959,0.0198049
0.1592,0.0197416
0.159466,0.0196561
0.159213,0.0195618
0.160069,0.019631
0.160446,0.0196187
0.160995,0.0196022
0.161542,0.0196639
0.161988,0.0197848
0.162467,0.0197134
0.163117,0.0198863
0.163153,0.0198628
0.163349,0.0197625
0.163568,0.0197669
0.16386,0.0197551
0.164131,0.0196897
0.164398,0.0196591
0.164269,0.0196583
0.164793,0.0196022
0.164976,0.0196731
0.165361,0.0197111
0.165497,0.0197284
0.165283,0.0198174
0.164898,0.0198265
0.164889,0.0198282
0.164422,0.0197774
0.163921,0.0197423
0.163429,0.0196928
0.163377,0.0197077
0.163361,0.0198016
0.163435,0.0198207
0.163165,0.0197641
0.162994,0.0196664
0.163259,0.0197454
0.163255,0.0198358
0.163456,0.0197796
0.163942,0.0197825
0.164056,0.0197345
0.164176,0.019672
0.164046,0.0195773
0.16384,0.019501
0.163517,0.0194254
0.16324,0.019431
0.163281,0.0193952
0.163831,0.0192847
0.164013,0.0191549
0.164,0.01912
0.163648,0.019
0.163493,0.0188939
0.163031,0.0188129
0.162956,0.0187372
0.162653,0.0186568
0.16226,0.0185762
0.162322,0.0185108
0.162349,0.0183509
0.162465,0.0182076
0.162536,0.0181228
0.162281,0.018056
0.162205,0.0180521
0.162303,0.0180137
0.162215,0.0180089
0.162197,0.0179234
0.162171,0.0177765
0.161767,0.0176868
0.161466,0.0175877
0.16143,0.0174686
0.161159,0.0174112
0.160754,0.0173656
0.160379,0.0173289
0.159958,0.017287
0.159541,0.0172455
0.159296,0.0171862
0.159401,0.0171539
0.159173,0.0171048
0.159202,0.0170709
0.159213,0.017053
0.159196,0.017058
0.159326,0.0171315
0.159978,0.0171953
0.160322,0.0172857
0.16045,0.0174851
0.160538,0.0176132
0.160313,0.0175794
0.160319,0.0176756
0.160346,0.017674
0.160358,0.0176916
0.160286,0.0176903
0.160212,0.017671
0.160064,0.0176385
0.159828,0.0175832
0.159665,0.0174971
0.159408,0.0174218
0.159391,0.017336
0.159226,0.0172256
0.15912,0.0171605
0.159384,0.01711
0.159822,0.0171998
0.160125,0.0173412
0.160298,0.0173774
0.160461,0.0174132
0.160696,0.0173955
0.160668,0.017344
0.160827,0.0173054
0.160937,0.0172267
0.160799,0.0171452
0.16086,0.0170957
0.161132,0.0170424
0.161051,0.0169827
0.160981,0.0169328
0.160952,0.0169031
0.160707,0.0168055
0.160478,0.0167267
0.16061,0.0166054
0.160598,0.0164855
0.160548,0.0164328
0.160477,0.0164204
0.160387,0.0163676
0.160184,0.0162908
0.160042,0.016217
0.159835,0.0161365
0.159481,0.0160795
0.159252,0.016049
0.15912,0.0159838
0.158806,0.0159179
0.158568,0.0158574
0.158394,0.0157692
0.158452,0.0157153
0.158551,0.0156773
0.158683,0.0156893
0.158722,0.0156984
0.158584,0.0156757
0.158562,0.0156538
0.158435,0.0156041
0.158213,0.0155846
0.158188,0.0156099
0.158472,0.0155433
0.158519,0.0155004
0.158976,0.0154456
0.159201,0.0153945
0.159234,0.0154326
0.159375,0.0154858
0.15924,0.0154494
0.159347,0.015457
0.159532,0.0154975
0.159578,0.015501
0.159666,0.0155028
0.159662,0.0155128
0.159761,0.0154734
0.160067,0.0154504
0.1604,0.0153721
0.160418,0.0153168
0.16035,0.0153055
0.160466,0.0153218
0.160658,0.0153
0.160986,0.0153488
0.161332,0.0154558
0.161815,0.0154705
0.162135,0.0154595
0.162345,0.0154071
0.162369,0.0153717
0.162585,0.0153483
0.162682,0.0153151
0.162829,0.0152658
0.163095,0.0152562
0.163049,0.0152481
0.162992,0.0152481
0.163083,0.0152712
0.16304,0.0152263
0.162943,0.0152255
0.162837,0.0152496
0.162694,0.0151942
0.162454,0.0151611
0.162401,0.0151718
0.162206,0.0151843
0.162172,0.0152718
0.162119,0.0154111
0.162012,0.0154633
0.162124,0.0155879
0.162104,0.0156442
0.16185,0.0156215
0.161562,0.0155711
0.161282,0.0155509
0.161055,0.0154752
0.160832,0.015425
0.160659,0.0153916
0.160421,0.015341
0.160428,0.0152958
0.160191,0.0152873
0.160016,0.0152292
0.159846,0.0152038
0.159661,0.0151716
0.159609,0.0151413
0.159634,0.0151119
0.159618,0.0150828
0.159502,0.0150839
0.159317,0.0150664
0.159301,0.0149966
0.159526,0.0150058
0.159558,0.0149953
0.159383,0.0149646
0.159208,0.0149216
0.159018,0.0148984
0.15885,0.0148772
0.158721,0.0148519
0.158756,0.0148098
0.158958,0.0147886
0.158922,0.0147866
0.159145,0.014765
0.159234,0.0147932
0.159214,0.0147936
0.159235,0.0147422
0.159324,0.0147272
0.159352,0.0147296
0.159221,0.0147176
0.158995,0.0146768
0.158876,0.0146404
0.15873,0.0146413
0.158806,0.0146409
0.158706,0.0146353
0.158711,0.0145969
0.158771,0.0146212
0.158783,0.0146362
0.158909,0.0146518
0.159015,0.014646
0.159038,0.0146378
0.159136,0.0146012
0.159274,0.0146225
0.159279,0.0146292
0.159022,0.0146224
0.15905,0.0146019
0.159245,0.0145563
0.159433,0.0145636
0.159542,0.0145882
0.159874,0.0146394
0.160144,0.0146297
0.160179,0.0146216
0.160221,0.0145681
0.160483,0.0145648
0.160338,0.0145676
0.160529,0.0145921
0.161041,0.0146434
0.161229,0.014664
0.161245,0.0146393
0.161342,0.0146208
0.161459,0.0146392
0.161694,0.0146539
0.162122,0.0147407
0.162204,0.0147794
0.162435,0.0148099
0.162448,0.0148363
0.162569,0.0148419
0.162703,0.014781
0.162641,0.0147769
0.162751,0.0147967
0.162839,0.0147637
0.162863,0.0147587
0.163137,0.0147051
0.163621,0.0146566
0.163697,0.0146782
0.163681,0.0147031
0.163705,0.0146942
0.163713,0.0146826
0.16386,0.0146579
0.164288,0.0146672
0.164461,0.0146536
0.164741,0.0146299
0.16498,0.0146076
0.165141,0.0145835
0.165174,0.0145313
0.165242,0.0145071
0.165567,0.0144584
0.165724,0.0144242
0.165968,0.0144076
0.166164,0.014412
0.1663,0.014417
0.166462,0.0144145
0.166492,0.014404
0.166526,0.0144065
0.166529,0.014441
0.166699,0.0144419
0.166796,0.0144128
0.167067,0.0143927
0.167143,0.0143745
0.167148,0.0143604
0.167348,0.0143262
0.167368,0.0142986
0.167509,0.0142541
0.167592,0.0142725
0.167655,0.0142738
0.167721,0.0142849
0.167708,0.0142694
0.167742,0.0142523
0.167691,0.0142414
0.167588,0.0142404
0.167379,0.0142172
0.167257,0.0142063
0.167239,0.0142362
0.167028,0.0142309
0.166943,0.0142514
0.166814,0.0142716
0.166656,0.0143026
0.166665,0.0142945
0.166722,0.0142838
0.167045,0.0142755
0.167314,0.014255
0.167433,0.0142465
0.167466,0.0142285
0.167533,0.0142254
0.167725,0.0141954
0.167938,0.0142209
0.168184,0.0142517
0.168189,0.0142834
0.168246,0.0143366
0.168202,0.0143751
0.168284,0.0144152
0.168417,0.0144581
0.168579,0.0145123
0.168636,0.0145483
0.168686,0.0145738
0.16866,0.0145603
0.168605,0.0145435
0.168538,0.0145325
0.168477,0.0145114
0.168398,0.0144771
0.168292,0.0144366
0.168126,0.014405
0.167973,0.0143668
0.167849,0.0143266
0.167748,0.0142859
0.167559,0.0142597
0.167407,0.0142312
0.167318,0.0141938
0.167151,0.0141493
0.167063,0.0141117
0.167047,0.0140855
0.167075,0.0140721
0.167167,0.0140654
0.16718,0.0140318
0.167304,0.0140161
0.167243,0.0139796
0.167146,0.0139475
0.167171,0.0138936
0.167036,0.0138421
0.166873,0.0138109
0.166656,0.0137801
0.166603,0.0137662
0.166473,0.0137579
0.166399,0.0137381
0.166316,0.0137365
0.166388,0.0136982
0.166398,0.0136825
0.166532,0.013688
0.166503,0.0136791
0.166506,0.0136643
0.166659,0.0136465
0.166638,0.0136064
0.166622,0.0135755
0.166573,0.0135601
0.166687,0.0135503
0.166646,0.0135125
0.166639,0.0134886
0.166508,0.0134598
0.166386,0.013429
0.166436,0.013444
0.166512,0.0134175
0.166414,0.0134103
0.166453,0.0134146
0.166444,0.0134182
0.166307,0.013399
0.166269,0.0134097
0.166329,0.0133873
0.166531,0.0133369
0.166464,0.0133171
0.16648,0.0132934
0.166444,0.0132561
0.166432,0.013214
0.166527,0.0131642
0.166806,0.013095
0.166854,0.0130664
0.167078,0.0130587
0.167098,0.0130544
0.167215,0.0130283
0.167174,0.01302
0.167189,0.0129805
