estimator,half_CI
1.8413,0.421535
1.89327,0.385603
1.84814,0.374625
1.82575,0.375012
1.81625,0.375003
1.83017,0.378097
1.8445,0.368833
1.86858,0.352237
1.85975,0.339027
1.8448,0.327592
1.81901,0.314042
1.81755,0.305493
1.80518,0.297966
1.8006,0.289359
1.78337,0.281089
1.77317,0.272569
1.76033,0.266642
1.76395,0.261295
1.77016,0.257972
1.77601,0.252525
1.77889,0.248237
1.78772,0.244289
1.78987,0.239786
1.79864,0.23508
1.80934,0.230722
1.81789,0.227244
1.8243,0.223702
1.82226,0.220716
1.82284,0.216434
1.81946,0.211947
1.81585,0.207058
1.8106,0.202763
1.79968,0.20046
1.78933,0.196847
1.78259,0.193372
1.77208,0.190352
1.7704,0.187231
1.7658,0.183458
1.76355,0.180274
1.7644,0.177337
1.76793,0.175419
1.77475,0.173913
1.77968,0.172704
1.78275,0.171047
1.788,0.168912
1.78946,0.167731
1.79183,0.164927
1.79426,0.162915
1.79767,0.161258
1.80031,0.159753
1.79961,0.159086
1.8,0.157815
1.80407,0.156407
1.80779,0.154236
1.80892,0.152184
1.80982,0.149091
1.80908,0.146354
1.8097,0.143461
1.81258,0.140863
1.8165,0.13878
1.81868,0.136408
1.82042,0.135162
1.82199,0.134906
1.82258,0.134133
1.82424,0.133586
1.82542,0.133668
1.82542,0.132979
1.82558,0.132097
1.82429,0.13168
1.82211,0.130772
1.82106,0.129953
1.81939,0.129462
1.81596,0.128387
1.81228,0.126763
1.81002,0.125588
1.80759,0.124165
1.80695,0.123029
1.80571,0.122235
1.80514,0.121282
1.80323,0.120801
1.80214,0.12007
1.80185,0.118951
1.80084,0.117397
1.799,0.116647
1.79439,0.115564
1.7906,0.1144
1.78611,0.113774
1.78136,0.112293
1.777,0.111204
1.77262,0.109932
1.77003,0.108396
1.767,0.107141
1.76301,0.106141
1.76302,0.10479
1.76482,0.103833
1.76523,0.103182
1.76974,0.102252
1.7726,0.101655
1.7756,0.101101
1.77929,0.100637
1.7856,0.100613
1.78996,0.100483
1.79486,0.100345
1.79934,0.100239
1.80292,0.0997481
1.80664,0.0991448
1.81012,0.0979755
1.81325,0.0966635
1.81683,0.0951225
1.82013,0.0935046
1.8223,0.0921862
1.82399,0.0909189
1.82443,0.0895468
1.82349,0.0882386
1.82335,0.086988
1.82386,0.0860492
