estimator,half_CI
1.92207,0.0150751
1.92204,0.014833
1.92265,0.0146895
1.92262,0.0146769
1.92237,0.0144551
1.92278,0.0141548
1.92316,0.01396
1.92456,0.013735
1.92521,0.0138843
1.9256,0.014182
1.92569,0.0142528
1.92589,0.0142623
1.92547,0.0143246
1.92546,0.0142636
1.92528,0.0141789
1.92551,0.0141306
1.92583,0.0138832
1.92657,0.013882
1.92647,0.0139306
1.92648,0.013786
1.92651,0.0135261
1.92658,0.0136352
1.92643,0.0134936
1.92708,0.0134045
1.92678,0.0132236
1.9269,0.0130972
1.92671,0.0130765
1.92511,0.0129925
1.92522,0.0130244
1.92527,0.0130521
1.92523,0.0130953
1.92419,0.0129755
1.92485,0.0128736
1.9245,0.0127973
1.92468,0.0127574
1.92508,0.012903
1.9243,0.0129812
1.92425,0.0129467
1.92425,0.0127389
1.92378,0.0125522
1.92348,0.0123353
1.92359,0.0121324
1.92353,0.0121067
1.9242,0.0121163
1.92418,0.0123368
1.92427,0.0125624
1.92552,0.0124655
1.92579,0.0125276
1.92549,0.0125872
1.92579,0.0125405
1.92572,0.0126228
1.92496,0.0124103
1.925,0.0121161
1.92467,0.011914
1.92377,0.0117918
1.92415,0.0117148
1.92479,0.0117035
1.92468,0.0117811
1.9254,0.011756
1.92547,0.0117241
1.92521,0.0117846
1.92568,0.0117584
1.92541,0.0118733
1.92512,0.0120085
1.92575,0.0121016
1.9262,0.012144
1.92694,0.0121784
1.92665,0.0121009
1.9267,0.0120011
1.92658,0.0120191
1.92764,0.0119983
1.92855,0.0123357
1.92922,0.0124531
1.92926,0.0126156
1.92895,0.0125747
1.92826,0.0124857
1.92772,0.0123514
1.92767,0.0121212
1.92766,0.0121043
1.92793,0.0119697
1.92789,0.0118354
1.92784,0.0117622
1.92802,0.0116483
1.92805,0.0116845
1.9282,0.0118317
1.92863,0.0119123
1.9286,0.0120629
1.9287,0.0121412
1.9291,0.0121017
1.92928,0.0120386
1.92921,0.0119975
1.92892,0.0121083
1.92907,0.0123091
1.92903,0.0123881
1.92894,0.0124728
1.92901,0.012546
1.92864,0.0125241
1.9291,0.0124192
1.92918,0.0124775
1.92964,0.0125441
1.93031,0.0125487
1.9301,0.0124867
1.9299,0.0124619
1.92993,0.0122819
1.92945,0.0120631
1.92922,0.012043
1.92914,0.0121405
1.9293,0.0120195
1.92916,0.0119315
1.92875,0.0118807
1.92886,0.0117628
1.92831,0.0115159
1.92754,0.0113482
1.92778,0.0113321
1.92722,0.0112801
1.92649,0.0113043
1.92646,0.0112154
1.92617,0.0111528
1.92633,0.0110101
1.92631,0.0111032
1.92639,0.0111219
1.92654,0.0111418
1.92675,0.011166
1.92649,0.0111186
1.92699,0.0109958
1.92718,0.0109778
1.92696,0.0111441
1.92681,0.0113733
1.9264,0.0114733
1.9266,0.0113831
1.92671,0.0113503
1.92639,0.0112542
1.92568,0.0113124
1.92633,0.0113298
1.92596,0.0113816
1.92592,0.0113738
1.92602,0.0112023
1.92643,0.0110583
1.92636,0.0108781
1.92634,0.0108168
1.92657,0.0108629
1.92649,0.0108922
1.92676,0.0108564
1.9269,0.0107393
1.92626,0.0106595
1.92636,0.0107622
1.92605,0.0107666
1.92609,0.0107425
1.92679,0.010863
1.92694,0.0110195
1.92658,0.0111517
1.92678,0.0112355
1.92691,0.0110033
1.92651,0.0109085
1.92672,0.0108914
1.92707,0.0108321
1.92656,0.0108573
1.92626,0.0109102
1.92631,0.0108408
1.92605,0.0107546
1.92683,0.0106637
1.92734,0.0107169
1.928,0.0108013
1.92846,0.0110505
1.92854,0.0110528
1.92833,0.0109687
1.9279,0.0109906
1.92729,0.0110651
1.92712,0.0111374
1.92695,0.011132
1.9268,0.0109741
1.92627,0.0107652
1.92613,0.0107248
1.92563,0.0105456
1.92469,0.0105275
1.92494,0.0105274
1.92513,0.0105405
1.92548,0.0104467
1.92569,0.0103415
1.92599,0.0101299
1.92536,0.0100288
1.92487,0.0100639
1.92412,0.0101004
1.9238,0.0101315
1.92346,0.0100859
1.92331,0.0099891
