estimator,half_CI
6.01408,0.56624
5.82104,0.488501
5.96065,0.448615
6.0486,0.407679
6.01973,0.343469
6.04389,0.30778
6.02436,0.267797
6.02872,0.250231
6.09516,0.241953
6.14328,0.232499
6.18178,0.210199
6.2315,0.193867
6.20757,0.184801
6.16887,0.175348
6.17083,0.174466
6.12617,0.169782
6.10907,0.158508
6.11352,0.148284
6.11658,0.137683
6.09558,0.123466
6.10366,0.118865
6.10098,0.113242
6.10595,0.106242
6.13486,0.105595
6.13602,0.102105
6.14619,0.0980125
6.1453,0.0960204
6.13388,0.097778
6.10155,0.0990699
6.09779,0.0988305
6.09497,0.0978703
6.08216,0.0927741
6.08661,0.0883519
6.07677,0.0851488
6.07184,0.0822328
6.07474,0.081546
6.08179,0.083456
6.09085,0.082699
6.10463,0.081863
6.10031,0.0811194
6.09453,0.0785711
6.0866,0.0785619
6.0774,0.0788947
6.07237,0.07992
6.07591,0.0799969
6.07613,0.0772461
6.0763,0.0728096
6.08499,0.0691024
6.08357,0.0660262
6.08352,0.0629938
6.08644,0.0643063
6.08207,0.0638972
6.08272,0.0618534
6.08254,0.0605192
6.07844,0.0605976
6.05847,0.0594382
6.05479,0.0601152
6.04786,0.061884
6.04568,0.0615585
6.05225,0.0614648
6.05457,0.0596073
6.05959,0.0567451
6.06504,0.0556248
6.06955,0.0579816
6.07097,0.0587564
6.07756,0.0600701
6.07718,0.0603292
6.07121,0.0583332
6.07088,0.057873
6.06301,0.0561939
6.05877,0.0537068
6.06336,0.0512245
6.06697,0.0504437
6.068,0.0484122
6.07982,0.048298
6.08227,0.0469813
6.08261,0.0446554
6.08278,0.0450917
6.08004,0.0445248
6.08194,0.0442802
6.08608,0.0448175
6.0873,0.0465227
6.08158,0.045353
6.08066,0.0448376
6.07933,0.0444682
6.0824,0.044093
6.08995,0.0450914
6.09204,0.0448553
6.09469,0.0446062
6.09421,0.0446493
6.0907,0.0449312
6.08739,0.044584
6.08816,0.045752
6.0817,0.046605
6.07714,0.0464216
6.07703,0.0461041
6.07099,0.0454454
6.06776,0.0443724
6.07197,0.0438599
6.07505,0.0434598
6.0779,0.0423073
6.08624,0.0422056
6.09325,0.0422962
6.09434,0.0417746
6.09393,0.0422684
6.08868,0.0419496
6.08725,0.0406479
6.08753,0.0399952
6.08925,0.0395232
6.08626,0.0381162
6.08589,0.0373145
6.08394,0.037218
6.0819,0.0360901
6.08449,0.0354117
6.0858,0.0348377
6.08631,0.033857
6.08856,0.0337414
6.08639,0.0344299
6.08293,0.0345721
6.0831,0.0349992
6.08004,0.0359535
6.07982,0.0357127
6.08281,0.0352733
6.08398,0.0348288
6.08468,0.0337959
6.0872,0.0330374
6.08806,0.0330761
6.08659,0.0325393
6.09044,0.0320054
6.09003,0.0318807
6.08692,0.0307529
6.08379,0.0306136
6.07534,0.0304671
6.07094,0.0302032
6.06916,0.0300591
6.06982,0.0302542
6.06816,0.0300505
6.07076,0.0294699
6.07116,0.0295353
6.07025,0.0293824
6.07335,0.0300296
6.07292,0.0306491
6.07256,0.0302676
6.07369,0.0297894
6.07033,0.0299089
6.06435,0.0294169
6.06221,0.0291236
6.05661,0.0297686
6.05355,0.029198
6.05479,0.0286334
6.05516,0.0286601
6.05848,0.0276265
6.06242,0.0272149
6.06247,0.0280402
6.06252,0.0282935
6.06483,0.0289395
6.06438,0.0295343
6.06614,0.0291984
6.06874,0.0288709
6.06524,0.0286046
6.06458,0.0276255
6.06443,0.0267453
6.06726,0.0264473
6.06741,0.0257612
6.07122,0.0249957
6.07136,0.0247717
6.06843,0.0244318
6.06905,0.0241955
6.06554,0.0245245
6.06399,0.0239511
6.06353,0.023615
6.06268,0.0237224
6.05932,0.0234322
6.05912,0.0229267
6.0567,0.0233369
6.05398,0.0234572
6.05504,0.0238843
6.05652,0.0246473
6.05955,0.0241833
6.06252,0.0235374
6.06296,0.0234284
6.06261,0.0237658
6.06327,0.0238318
6.06218,0.0242334
6.06028,0.0237748
6.05893,0.0233819
6.05575,0.0229244
6.05281,0.0219452
6.05191,0.0218395
6.05195,0.0222987
6.05144,0.0226025
6.05549,0.022621
6.05694,0.0227953
6.05725,0.0222524
6.05923,0.0228041
6.05744,0.0232825
6.05613,0.0230224
6.05545,0.0231318
6.05491,0.0231565
6.05323,0.0223201
6.0546,0.0219487
6.05337,0.0219938
6.05133,0.021396
6.05105,0.0217685
6.04911,0.0217119
6.05186,0.020949
6.05342,0.0206076
6.05324,0.0208706
6.05131,0.0206979
6.05136,0.0212414
6.04862,0.0219732
6.04749,0.0217831
6.04843,0.0223072
6.04834,0.0215781
6.04908,0.0207157
6.05117,0.0201085
6.05289,0.0204369
6.05428,0.0201256
6.05608,0.0202735
6.05814,0.0206908
6.05817,0.0200772
6.05849,0.0203407
6.05661,0.0202989
6.05444,0.0199272
6.05301,0.0200166
6.05203,0.0207341
6.05151,0.0204902
6.05365,0.0208266
6.05424,0.0210992
6.05498,0.0205794
6.05679,0.0210811
6.05704,0.0211802
6.06005,0.0214162
6.06377,0.0219514
6.06471,0.0223137
6.06344,0.0221032
6.0634,0.0224003
6.06104,0.0225345
6.05886,0.022204
6.05969,0.0223752
6.05845,0.0219738
6.05866,0.0213389
6.05917,0.0209212
6.06081,0.0212187
6.05969,0.0209675
6.06053,0.0211024
6.06106,0.0214856
6.06078,0.0213079
6.06184,0.0215929
6.06106,0.0213363
6.06012,0.021107
6.05898,0.020929
6.05841,0.0209938
6.05809,0.0205628
6.06024,0.020577
6.06165,0.0207326
6.06265,0.0202437
6.06424,0.0203402
6.06243,0.0206098
6.06095,0.0202649
6.06108,0.0201014
6.06002,0.0201838
6.05882,0.0200351
6.05895,0.020203
6.05651,0.0204871
6.05473,0.0201197
6.05482,0.0203709
6.05428,0.0205582
6.05593,0.020329
6.05904,0.0203044
6.06112,0.0205437
6.06043,0.0206746
6.06098,0.0208993
6.06068,0.0214802
6.05933,0.0216442
6.05973,0.0217963
6.05837,0.0214735
6.05801,0.0209053
6.05686,0.0203482
6.05614,0.0203521
6.05451,0.0200512
6.05583,0.0201171
6.05679,0.0202741
6.05753,0.0197306
6.05855,0.0197119
6.05694,0.0196615
6.05569,0.0192487
6.05612,0.0192088
6.05543,0.0194896
6.05441,0.0193545
6.05514,0.0192842
6.05446,0.0192456
6.05455,0.0187128
6.05529,0.0186506
6.05568,0.0186721
6.05676,0.0184097
6.05864,0.018202
6.0603,0.0182243
6.06,0.0181194
6.06103,0.0178679
6.05936,0.0177848
6.05756,0.0175781
6.05688,0.0175581
6.05603,0.0174506
6.05641,0.0172014
6.05745,0.0170318
6.05793,0.0170807
6.05738,0.0168361
6.05836,0.0172391
