estimator,half_CI
6.51898,0.572918
6.39449,0.577228
6.32056,0.556462
6.31344,0.532272
6.22955,0.519043
6.21135,0.500755
6.1759,0.489635
6.13026,0.480605
6.09664,0.473669
6.11445,0.463892
6.08417,0.449577
6.06586,0.438267
6.04626,0.428286
6.00599,0.423599
6.01606,0.418585
6.00864,0.416274
5.99455,0.411103
5.98688,0.403158
5.98011,0.392608
5.96029,0.383724
5.95477,0.374742
5.95959,0.367075
5.96221,0.362325
5.97185,0.355867
5.96775,0.348525
5.95615,0.343276
5.95067,0.337402
5.95216,0.33265
5.95444,0.328125
5.9611,0.323458
5.96811,0.318472
5.95765,0.313409
5.95957,0.307762
5.957,0.303562
5.94815,0.30168
5.94362,0.298833
5.93736,0.295604
5.92752,0.292615
5.91974,0.290422
5.91262,0.286983
5.90475,0.284685
5.90721,0.282456
5.90865,0.279602
5.90951,0.277328
5.90962,0.274164
5.91091,0.269593
5.90765,0.265931
5.90654,0.262623
5.90226,0.258659
5.89721,0.256277
5.89814,0.254164
5.89199,0.251717
5.8827,0.249798
5.87417,0.248062
5.86757,0.245156
5.85692,0.243107
5.84975,0.240384
5.8446,0.237114
5.83777,0.23442
5.83559,0.230976
5.83149,0.227503
5.82275,0.225627
5.8184,0.224626
5.81912,0.223968
5.81781,0.223426
5.81865,0.222773
5.82072,0.221929
5.81698,0.2214
5.81973,0.220607
5.82161,0.219204
5.81998,0.218572
5.82037,0.217256
5.82067,0.215376
5.81618,0.21361
5.81591,0.212406
5.81453,0.210959
5.81216,0.210115
5.81244,0.209453
5.81063,0.208623
5.80814,0.207708
5.80431,0.206936
5.80618,0.205739
5.80392,0.204258
5.80303,0.203152
5.80512,0.201581
5.80329,0.200338
5.80132,0.198806
5.79818,0.196903
5.79365,0.195529
5.7886,0.19469
5.78851,0.193022
5.78752,0.191197
5.78953,0.190127
5.79283,0.188008
5.79261,0.186262
5.79522,0.185042
5.79781,0.183388
5.79823,0.182344
5.8004,0.181584
5.807,0.179774
5.80856,0.1783
5.81086,0.176621
5.81499,0.174978
5.81539,0.173865
5.81855,0.172319
5.8208,0.170447
5.82146,0.168673
5.82241,0.166951
5.82598,0.164833
5.82556,0.162449
5.82704,0.160367
5.8298,0.158404
5.82996,0.156925
5.83429,0.155394
5.83738,0.1536
5.83752,0.152523
5.83931,0.151588
5.8445,0.150374
5.84756,0.149318
5.85295,0.148478
5.8582,0.147062
5.86074,0.145567
5.86581,0.14385
5.86921,0.141962
5.86971,0.140712
5.87369,0.139727
5.87941,0.138917
5.8804,0.138061
5.88353,0.137319
5.8852,0.136349
5.88447,0.135651
5.88755,0.134679
5.89037,0.133942
5.89239,0.133235
5.89552,0.132447
5.89936,0.131368
5.90029,0.130437
5.90217,0.129467
5.90433,0.128553
5.90349,0.128304
5.90472,0.127742
5.90482,0.127316
5.90292,0.126911
5.90087,0.126462
5.89909,0.125707
5.89605,0.125587
5.89464,0.125234
5.89349,0.12484
5.8923,0.124486
5.89408,0.123856
5.89321,0.12334
5.89098,0.122879
5.88984,0.122614
5.89098,0.122311
5.88979,0.122404
5.89167,0.122447
5.89344,0.122461
5.89359,0.122227
5.89644,0.121724
5.89559,0.121324
5.89502,0.12098
5.89481,0.120586
5.89643,0.119877
5.89593,0.11911
5.89553,0.118097
5.89634,0.117308
5.89512,0.11694
5.8956,0.116564
5.89615,0.116255
5.89518,0.116123
5.89502,0.115808
5.89569,0.115348
5.89527,0.114856
5.89603,0.11428
5.89755,0.113589
5.89826,0.112992
5.90033,0.112099
5.90104,0.111206
5.89895,0.110399
5.89817,0.109758
5.89829,0.10943
5.89789,0.109221
5.89818,0.109119
5.89921,0.109191
5.89852,0.109068
5.89875,0.108964
5.89792,0.108961
5.89637,0.108719
5.89616,0.10857
5.89787,0.108329
5.89759,0.108148
5.89878,0.108078
5.90059,0.1081
5.89986,0.108097
5.90172,0.108169
5.90188,0.108268
5.90182,0.108365
5.90209,0.108388
5.90341,0.108528
5.90295,0.108305
5.90291,0.108168
5.90275,0.108106
5.90224,0.107924
5.90343,0.107922
5.9038,0.108078
5.90372,0.108167
5.90389,0.108316
5.90455,0.108694
5.90487,0.109121
5.90715,0.109404
5.90881,0.109437
5.9103,0.10929
5.91319,0.109006
5.91445,0.108491
5.91457,0.108025
5.91549,0.10767
5.91704,0.107439
5.91832,0.107208
5.91961,0.106945
5.92142,0.106593
5.92097,0.106213
5.92095,0.106076
5.92069,0.105995
5.91973,0.106014
5.92001,0.106137
5.92036,0.106207
5.91916,0.10605
5.91855,0.105844
5.91854,0.105437
5.91662,0.105261
5.91636,0.105077
5.91553,0.104865
5.91457,0.1048
5.91363,0.104753
5.91269,0.104579
5.9114,0.104567
5.91185,0.10467
5.91225,0.104592
5.91142,0.104585
5.91244,0.104583
5.91178,0.10446
5.9104,0.104344
5.90839,0.10426
5.90822,0.104235
5.90753,0.104075
5.90759,0.104196
5.90867,0.10411
5.90842,0.104028
5.90908,0.10392
5.90956,0.103735
5.909,0.103665
5.90872,0.103572
5.90919,0.103337
5.90945,0.103165
5.91056,0.102944
5.91108,0.10261
5.90927,0.102389
5.90871,0.102261
5.90795,0.102174
5.90629,0.102175
5.90543,0.102185
5.90519,0.102134
5.90348,0.102103
5.90205,0.101935
5.90055,0.101857
5.89876,0.101647
5.89887,0.101317
5.89781,0.101028
5.89648,0.100771
5.8956,0.100416
5.89574,0.100263
5.89612,0.100104
5.8973,0.10005
5.89903,0.0999227
5.89923,0.0998071
5.89978,0.0994869
5.89975,0.0989842
5.89899,0.0986051
5.89916,0.0981188
5.90015,0.0978024
5.90081,0.0975254
5.90139,0.0974072
5.90242,0.0972748
5.90219,0.0971489
5.90324,0.0969381
5.90393,0.0968029
5.90438,0.0966911
5.90526,0.0966
5.90707,0.0963888
5.90756,0.0960377
5.90904,0.095589
5.91065,0.095037
5.91111,0.0945785
5.91329,0.0940383
5.91499,0.0937735
5.9163,0.0934858
5.91711,0.0933485
5.91857,0.0931296
5.91854,0.0929874
5.91931,0.0929955
5.92108,0.0930161
5.92162,0.0931396
5.92278,0.0931873
5.92383,0.093101
5.92363,0.093062
5.92356,0.0930832
5.92453,0.0930251
5.92444,0.09286
5.92515,0.0928113
5.92632,0.0927436
5.92631,0.0926141
5.92714,0.0926026
5.92704,0.0925479
5.92622,0.0926078
5.926,0.0925365
5.92673,0.0923326
5.92576,0.0920342
5.92572,0.0916385
5.92538,0.0912066
5.92454,0.0908726
5.9252,0.0906961
5.92454,0.0906283
5.92412,0.0907674
5.92424,0.0908907
5.92498,0.0908858
5.92486,0.0908052
5.92476,0.0908125
5.92523,0.0906059
5.92575,0.0904985
5.92674,0.0904155
5.92732,0.0901838
5.92696,0.0900658
5.92674,0.0899639
5.92691,0.0897753
5.92617,0.0897314
5.92683,0.0898001
5.9272,0.0897906
5.92702,0.0898117
5.92763,0.0897753
5.92719,0.0896861
5.92592,0.0897552
5.92548,0.0898897
5.92547,0.0898653
5.92506,0.089928
5.92506,0.0900551
5.92539,0.0899255
5.92456,0.0898767
5.92425,0.089878
5.92326,0.0897997
5.92198,0.0900061
5.92124,0.0901767
5.92125,0.0902205
5.92022,0.090263
5.91942,0.0902743
5.91942,0.0901699
5.91803,0.0900608
5.91808,0.0900264
5.91788,0.0899409
5.91726,0.0898578
5.91693,0.0896558
5.91672,0.0894194
5.91586,0.0892765
5.91589,0.089278
5.91599,0.0894024
5.91565,0.0894589
5.91616,0.0893753
5.91641,0.0892805
5.91595,0.0891489
5.91582,0.0890503
5.91613,0.0890374
5.91527,0.0890196
5.91499,0.0889721
5.91453,0.0888088
5.91342,0.0886669
5.91286,0.0885895
5.91144,0.0886094
5.91004,0.0887608
5.90865,0.0889579
5.90878,0.0892814
5.90833,0.0895393
5.90786,0.0896339
5.90798,0.0896081
5.90731,0.0895466
5.90779,0.089531
5.90757,0.0894434
5.90774,0.0893836
5.90813,0.0894109
5.90915,0.0893449
5.90931,0.089265
5.90986,0.0892687
5.91042,0.0892915
5.91054,0.0892278
5.91145,0.0891253
5.91175,0.0889789
5.91111,0.0888107
5.91077,0.0886534
5.91093,0.0884815
5.91055,0.0883466
5.91084,0.0881816
5.91108,0.088066
5.91111,0.0879132
5.91197,0.0876763
5.91233,0.0875451
5.91248,0.0874611
5.91208,0.0873123
5.913,0.0871148
5.91328,0.0869304
5.91359,0.0866765
5.91433,0.0863437
5.91403,0.0859823
5.91406,0.0856836
5.91404,0.0854468
5.91351,0.0852489
5.91346,0.085145
5.91455,0.0849276
5.91473,0.0846632
5.91559,0.0844684
5.91664,0.0843138
5.9172,0.0841919
5.9193,0.0841026
5.92128,0.0839064
5.92266,0.0837089
5.92407,0.0834832
5.92597,0.0833056
5.92711,0.0830195
5.92889,0.082814
5.93079,0.0827044
5.93172,0.0824562
5.93321,0.0822977
5.93386,0.0820924
5.93362,0.0819171
5.9337,0.0817382
5.93442,0.0814861
5.93453,0.0813491
5.93506,0.081271
5.9354,0.0811207
5.93516,0.0809836
5.93585,0.0808632
5.93593,0.0807996
5.93555,0.080754
5.93547,0.0808057
5.93596,0.0808214
5.93616,0.0808885
5.93671,0.0808984
5.93705,0.0808707
5.93655,0.080937
5.93696,0.0809453
5.93665,0.0809624
5.93618,0.0809838
5.93605,0.0809735
5.93629,0.0809686
5.93586,0.0810697
5.93593,0.08124
5.93582,0.081402
5.9353,0.081691
5.93597,0.081946
5.93606,0.0821359
5.93571,0.0823644
5.93538,0.0824688
5.93498,0.0824549
5.93449,0.082411
5.93423,0.0823618
5.93468,0.0822947
5.93488,0.0821651
5.93554,0.0819501
5.93562,0.0818577
5.93512,0.0818162
5.93493,0.0817502
5.9352,0.0817356
5.93512,0.0818256
5.93527,0.0817953
5.93536,0.0816783
5.93473,0.0815593
5.93475,0.0814624
5.93435,0.0813814
5.93415,0.0813488
5.93395,0.0813163
5.93387,0.0812098
5.93281,0.0810613
5.93286,0.0809266
5.93241,0.0808065
5.9312,0.0807524
5.9308,0.0807039
5.92952,0.0806452
5.9282,0.0805353
5.92682,0.0804276
5.92623,0.0803452
5.92462,0.0802479
5.92342,0.0802387
5.92279,0.0801726
5.9216,0.0801215
5.92097,0.0801452
5.92022,0.0801462
5.91886,0.0802285
5.91784,0.0803486
5.91724,0.0804464
5.91648,0.0805099
5.91636,0.0806233
5.91653,0.0805861
5.91598,0.0804714
5.91608,0.0804237
5.91579,0.0802518
5.91526,0.0801451
5.91518,0.0801227
5.91565,0.0800996
5.91586,0.0800308
5.91598,0.080019
5.916,0.0799496
5.91561,0.0798923
5.91587,0.0798848
5.91569,0.0798213
5.91537,0.0798155
5.91522,0.0797844
5.91553,0.0796807
5.91544,0.079469
5.91545,0.0792759
5.91591,0.0790056
5.91606,0.0788074
5.91636,0.0785994
5.91637,0.0782952
5.91635,0.0780457
5.91659,0.0777893
5.91715,0.0775682
5.91716,0.0773305
5.91758,0.0771328
5.9185,0.0767954
5.91869,0.0764836
5.91944,0.0762226
5.91968,0.075946
5.9195,0.0756937
5.91969,0.0754953
5.92061,0.0753429
5.92098,0.0751425
5.92182,0.074901
5.92289,0.0746404
5.92333,0.0744112
5.92424,0.0741875
5.92515,0.073935
5.92596,0.0737359
5.92716,0.0735582
5.92894,0.0733655
5.92974,0.0731214
5.93091,0.0728884
5.93186,0.0726562
5.93239,0.0724607
5.93341,0.0723332
5.93423,0.0722495
5.93474,0.0721
5.93551,0.0720089
5.93623,0.0718781
5.93626,0.0718205
5.93714,0.0718025
5.93799,0.0717051
5.93836,0.0716377
5.93966,0.071548
5.94043,0.0713877
5.94073,0.0713205
5.94101,0.0712547
5.9416,0.0712947
5.94188,0.0713324
5.9427,0.0713294
5.94317,0.0713518
5.94306,0.0714001
5.94322,0.0715087
5.94289,0.0715834
5.94246,0.0716443
5.94232,0.0717468
5.94259,0.0718679
5.94268,0.0718817
5.94276,0.0719054
5.94269,0.071948
5.94222,0.0720312
5.94184,0.0721447
5.94133,0.0722422
5.94099,0.0723132
5.94081,0.0723955
5.94096,0.0724164
5.94032,0.0724962
5.93991,0.07256
5.93948,0.0726616
5.93865,0.0727108
5.93829,0.0727118
5.93765,0.072684
5.93674,0.0726368
5.9359,0.0726494
5.93564,0.0727316
5.93503,0.0727794
5.93507,0.0728652
5.935,0.0729647
5.9349,0.0730021
5.93513,0.0729765
5.93491,0.072901
5.93459,0.0727896
5.93414,0.0727549
5.93432,0.0726892
5.93443,0.0726103
5.93446,0.0725591
5.9348,0.0724847
5.93444,0.0724109
5.9341,0.0723174
5.93359,0.0722205
5.93274,0.0721108
5.93205,0.0719939
5.93159,0.0719238
5.93083,0.0717624
5.9301,0.071687
5.92949,0.0715845
5.92861,0.0714488
5.92826,0.0714033
5.92796,0.0713517
5.92731,0.0713014
5.92694,0.0712356
5.92695,0.071203
5.92627,0.0711524
5.9261,0.0710963
5.92593,0.0710448
5.92552,0.0709888
5.92585,0.0709303
5.92602,0.0708309
5.92565,0.0707684
5.92517,0.0707384
5.92521,0.0706816
5.92467,0.0706995
5.92462,0.0707361
5.92475,0.070711
5.92403,0.0707136
5.92382,0.0707438
5.92331,0.0707847
5.92267,0.0708242
5.92239,0.0708437
5.92247,0.0708071
5.92207,0.0707204
