estimator,half_CI
1.83806,0.430969
1.75827,0.357371
1.88298,0.310267
1.91822,0.287775
1.87706,0.24231
1.88705,0.220364
1.87191,0.193177
1.87139,0.184088
1.92145,0.180482
1.96078,0.173267
1.98472,0.158763
2.01873,0.147785
2.00073,0.142017
1.97622,0.133109
1.98669,0.130937
1.95478,0.127077
1.93794,0.118525
1.94528,0.113116
1.95454,0.104699
1.94132,0.0938556
1.94209,0.0912275
1.93522,0.0862635
1.93878,0.0823398
1.9555,0.0828374
1.95852,0.0816806
1.96536,0.0783138
1.96066,0.0758707
1.95173,0.0764128
1.93042,0.0771284
1.92802,0.0757852
1.92695,0.0748592
1.9201,0.0713862
1.92475,0.0684364
1.91988,0.0671184
1.91248,0.0640923
1.9121,0.0633952
1.91527,0.0648211
1.92278,0.0643602
1.93519,0.0631515
1.93301,0.0624029
1.92979,0.0592334
1.92438,0.059801
1.9127,0.0603329
1.91071,0.060742
1.91037,0.061093
1.91228,0.0589311
1.913,0.0552438
1.92117,0.0523748
1.92367,0.0496022
1.92393,0.0471858
1.92568,0.0479923
1.92023,0.0480071
1.91832,0.046331
1.91587,0.0454413
1.91256,0.0452895
1.89973,0.0445488
1.89662,0.0453509
1.89157,0.046794
1.89133,0.046359
1.89547,0.0468641
1.89797,0.0454205
1.90271,0.0433579
1.9094,0.0426859
1.91503,0.0439585
1.91773,0.0442642
1.92228,0.044826
1.91975,0.0452874
1.91646,0.0439451
1.91732,0.0438831
1.91168,0.0428011
1.90832,0.0409557
1.91267,0.0391278
1.91661,0.0385604
1.91892,0.0373677
1.92919,0.0371557
1.93263,0.0362165
1.93062,0.0341855
1.93107,0.0345974
1.92859,0.0343363
1.93074,0.0345633
1.93433,0.0347725
1.93463,0.0360239
1.93031,0.0349678
1.9299,0.0345962
1.92948,0.0344362
1.93336,0.0341983
1.93799,0.0350194
1.93954,0.0350461
1.94115,0.0346989
1.94112,0.034797
1.93689,0.0349269
1.93571,0.0346009
1.93689,0.0351883
1.9326,0.0357543
1.93037,0.0355188
1.93036,0.0353818
1.9258,0.0346541
1.92386,0.0337644
1.92626,0.0335015
1.92891,0.0333677
1.93125,0.0327645
1.9373,0.032678
1.94308,0.0328285
1.94445,0.0321271
1.94467,0.0326009
1.94083,0.0323094
1.93954,0.031153
1.93965,0.0307679
1.94147,0.0304935
1.94098,0.0295763
1.94108,0.028877
1.94016,0.0288892
1.93775,0.028218
1.94038,0.028049
1.94082,0.0277835
1.94106,0.0271866
1.94239,0.0270248
1.94013,0.0272198
1.93858,0.0271924
1.93828,0.0275152
1.93538,0.0283449
1.93473,0.0282778
1.93642,0.0281783
1.93776,0.0279389
1.93863,0.0271048
1.9411,0.0264831
1.94097,0.0266685
1.9397,0.0263013
1.94228,0.0258116
1.94195,0.0254812
1.93978,0.0247885
1.93731,0.0246242
1.93137,0.0245734
1.92858,0.0246255
1.92732,0.0244179
1.92862,0.0241464
1.92718,0.0238321
1.92873,0.0234415
1.92937,0.0235774
1.92863,0.0234081
1.93037,0.0240274
1.93043,0.0246418
1.93022,0.0243631
1.93045,0.0240029
1.92779,0.0240674
1.92453,0.0235804
1.92251,0.0232527
1.91873,0.0235879
1.91619,0.023161
1.91733,0.0228759
1.91747,0.0227215
1.91975,0.021856
1.923,0.021413
1.92353,0.0217382
1.92353,0.0219044
1.92575,0.0221627
1.92395,0.0224475
1.92428,0.0220914
1.9262,0.0217401
1.92413,0.0212015
1.92364,0.0205829
1.92371,0.0203034
1.92629,0.0203247
1.9265,0.0199269
1.92839,0.0194913
1.92856,0.0193697
